,Fieldname,Sent1,Sent2,AVG-W2V,AVG-W2V-STOP,AVG-W2V-TFIDF,AVG-W2V-TFIDF-STOP,WMD-W2V,Accuracy_score,Code
0,Beton;Field1,elevators get stuck,Central heating,0.23129373788833618,0.23129373788833618,0.22807667765996809,0.22807667765996809,-3.5347514412919887,4,g
1,Beton;Field1,Concrete shrinks as the hot word,Central heating,0.3182351887226105,0.2853223979473114,0.29079678245089813,0.2873248171669633,-3.321185677343309,3,g
2,Beton;Field1,By heating the concrete shrinks,Central heating,0.6045573949813843,0.622755229473114,0.6292171166356857,0.6290296740092371,-2.572935777666521,3,g
3,Beton;Field1,concrete buildings shrink by central heating,Central heating,0.7154843807220459,0.7350000143051147,0.7067942585200202,0.7079267166302948,-2.3307194101084705,3,g
4,Beton;Field1,concrete decreases after a while,Central heating,0.22756946086883545,0.22310563921928406,0.21777248479620712,0.21237079005563653,-3.3520161573753358,3,g
5,Beton;Field1,can shrink concrete,Central heating,0.23453128337860107,0.2236396074295044,0.22005085322895895,0.21075132681895162,-3.5564626149292913,3,g
6,Beton;Field1,shrink concrete buildings,Central heating,0.29196879267692566,0.29196879267692566,0.2628446318991028,0.2628446318991028,-3.6645448530117775,3,g
7,Beton;Field1,Buildings made of concrete but people did not know that shrinks when heat concrete,Central heating,0.34320923686027527,0.40598011016845703,0.38612193117798727,0.3913583958062063,-3.249336135519934,3,g
8,Beton;Field1,Concrete shrinks as it gets hot,Central heating,0.31951603293418884,0.31247708201408386,0.29488753928305483,0.29281234990871674,-3.357667595164933,3,g
9,Beton;Field1,v concrete buildings become smaller heat,Central heating,0.3873139023780823,0.3873139023780823,0.42388354868773986,0.42388354868773986,-3.585135455515664,3,g
10,Beton;Field1,get small concrete as it dries,Central heating,0.2849031388759613,0.2718997299671173,0.27386867686845257,0.2709675922775416,-3.265135179135739,3,g
11,Beton;Field1,can shrink concrete,Central heating,0.23453128337860107,0.2236396074295044,0.22005085322895895,0.21075132681895162,-3.5564626149292913,3,g
12,Beton;Field1,The central heating dries out concrete,Central heating,0.7155514359474182,0.7433372139930725,0.6550437580776991,0.6557446857650846,-2.212812645905245,2,g
13,Beton;Field1,concrete shrinks,Central heating,0.23712553083896637,0.23712553083896637,0.22609411740519034,0.22609411740519034,-3.795813587578535,2,g
14,Beton;Field1,Concrete can dry out by CV,Central heating,0.21329139173030853,0.1879653036594391,0.152823397084077,0.13941261316816567,-3.614826927881465,2,g
15,Beton;Field1,dries out,Central heating,0.20107124745845795,0.18412089347839355,0.22791716719105395,0.22265443896142673,-3.5318392788619994,2,g
